BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,LATITUDE,LONGITUDE
Brokered by Serhant,Condo,999000,2,2,1262.0,New York,"775 Riverside Dr Apt 5HNew York, NY 10032",New York,New York County,New York,40.834716,-73.9481517
Brokered by Pin It Realty Llc,House,1350000,6,4,2184.207862,Far Rockaway,"380 Beach 13th StFar Rockaway, NY 11691",United States,New York,Queens County,40.5997298,-73.7467974
Brokered by Island Advantage Realty Llc,House,669900,3,2,1376.0,Hollis,"181-10 93rd AveHollis, NY 11423",United States,New York,Queens County,40.7077562,-73.7787888
Brokered by Oxford Property Group,Co-op,399000,3,1,2184.207862,New York,"36 W 35th St Apt 5DNew York, NY 10001",New York,New York County,New York,40.7497074,-73.9859244
Brokered by EXIT REALTY PRIME,Pending,779000,5,3,2000.0,Jamaica,"193-06 122nd AveJamaica, NY 11413",United States,New York,Queens County,40.6857875,-73.7538304
Brokered by Winzone Realty Inc,Multi-family home,1200000,5,2,2184.207862,Brooklyn,"2546 E 29th StBrooklyn, NY 11235",United States,New York,Kings County,40.590395,-73.9412863
Brokered by COMPASS,Co-op,895000,2,1,2184.207862,Manhattan,"55 E 65th St Apt 4AManhattan, NY 10065",New York,New York County,New York,40.7669715,-73.9674377
Brokered by Sowae Corp,Condo,369000,3,1,2184.207862,Brooklyn,"720 57th St Apt 4CBrooklyn, NY 11220",New York,Kings County,Brooklyn,40.637981,-74.009565
Brokered by RE MAX Edge,Co-op,299000,1,1,750.0,Brooklyn,"7119 Shore Rd Apt 2CBrooklyn, NY 11209",New York,Kings County,Brooklyn,40.636031,-74.0365302
Brokered by Douglas Elliman - 3544 Johnson Ave,Pending,1780000,4,3,2184.207862,Bronx,"735 Ladd RdBronx, NY 10471",United States,New York,Bronx County,40.9055018,-73.909935
Brokered by Mitra Hakimi Realty Group LLC,House,988000,5,2,3244.0,Brooklyn,"211 E 53rd StBrooklyn, NY 11203",United States,New York,Kings County,40.6548876,-73.9275423
Brokered by EXP Realty,Co-op,279000,2,1,810.0,Fresh Meadows,"196-44 69th Ave Unit 1STFresh Meadows, NY 11365",New York,Queens County,Queens,40.7365683,-73.7763893
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op,285000,3,1,2184.207862,New York,"417 E 87th St Apt 3BNew York, NY 10128",New York,New York County,New York,40.7772709,-73.9477614
Brokered by Redfin Real Estate,House,988000,3,3,1311.0,East Elmhurst,"31-20 Buell StEast Elmhurst, NY 11369",United States,New York,Queens County,40.7615431,-73.8621447
Brokered by COMPASS,Co-op,735000,1,1,800.0,Manhattan,"205 W 95th St Apt 3BManhattan, NY 10025",New York,New York County,New York,40.7938201,-73.9713411
