BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,LATITUDE,LONGITUDE
Brokered by Douglas Elliman  -111 Fifth Ave,Condo,315000,2,2,1400.0,New York,"2 E 55th St Unit 803New York, NY 10022",New York County,New York,Manhattan,40.761255,-73.9744834
Brokered by Sowae Corp,House,260000,4,2,2015.0,Staten Island,"620 Sinclair AveStaten Island, NY 10312",United States,New York,Richmond County,40.5418051,-74.1961086
Brokered by COMPASS,Condo,69000,3,1,445.0,Manhattan,"2 E 55th St Unit 908W33Manhattan, NY 10022",United States,New York,New York County,40.7613979,-73.9746128
Brokered by Sowae Corp,House,690000,5,2,4004.0,Brooklyn,"584 Park PlBrooklyn, NY 11238",United States,New York,Kings County,40.6743632,-73.9587248
Brokered by Douglas Elliman - 575 Madison Ave,Condo,899500,2,2,2184.207862,New York,"157 W 126th St Unit 1BNew York, NY 10027",New York,New York County,New York,40.809448,-73.946777
Brokered by Pantiga Group Inc.,Co-op,265000,1,1,750.0,Bronx,"875 Morrison Ave Apt 3MBronx, NY 10473",Bronx County,The Bronx,East Bronx,40.8215857,-73.8740892
Brokered by CENTURY 21 MK Realty,Co-op,440000,2,1,978.0,Brooklyn,"1350 Ocean Pkwy Apt 5GBrooklyn, NY 11230",New York,Kings County,Brooklyn,40.6157378,-73.9696944
Brokered by Engel & Volkers Americas,Co-op,375000,2,1,850.0,Bronx,"800 Grand Concourse Apt 2JSBronx, NY 10451",New York,Bronx County,The Bronx,40.8248699,-73.9229829
Brokered by Re/Max Edge,Townhouse,689000,3,2,1162.0,Staten Island,"456 Van Name AveStaten Island, NY 10303",United States,New York,Richmond County,40.6249962,-74.1553058
Brokered by COMPASS,Co-op,259000,3,1,2184.207862,Jackson Heights,"34-41 85th St Unit 1DJackson Heights, NY 11372",New York,Queens County,Queens,40.7531191,-73.8818757
Brokered by Jamie & Connie Real Estate Grp,Co-op,430000,2,2,2184.207862,Elmhurst,"91-15 Lamont Ave Unit 6DElmhurst, NY 11373",New York,Queens County,Queens,40.7438639,-73.8745722
Brokered by Corcoran Chelsea/Flatiron,Co-op,895000,3,1,2184.207862,New York,"61 Jane St Apt 6NNew York, NY 10014",New York,New York County,New York,40.7382981,-74.0058899
Brokered by Awaye Realty,Condo,549000,2,2,1000.0,Staten Island,"4654 Amboy Rd Unit 2BStaten Island, NY 10312",New York,Richmond County,Staten Island,40.5406209,-74.1671632
Brokered by Realty Executives Today,Townhouse,975000,3,2,1734.0,Woodside,"28-31 Hobart StWoodside, NY 11377",United States,New York,Queens County,40.7607676,-73.9056672
Brokered by Dorsa Group Realty,Co-op,199000,3,1,325.0,Brooklyn,"9430 Ridge Blvd Apt 6DBrooklyn, NY 11209",New York,Kings County,Brooklyn,40.6181029,-74.0369047
Brokered by Coldwell Banker Realty,Co-op,350000,1,1,700.0,Bronx,"5800 Arlington Ave Apt 21ABronx, NY 10471",New York,Bronx County,The Bronx,40.9073699,-73.9065578
Brokered by Keller Williams Rlty Landmark,Condo,599000,2,2,974.0,Rego Park,"92-29 Queens Blvd Unit 3HRego Park, NY 11374",New York,Queens County,Queens,40.7324713,-73.8670804
Brokered by Radiant Estates LLC,House,639999,3,2,1260.0,Staten Island,"27 Clove WayStaten Island, NY 10301",United States,New York,Richmond County,40.6207403,-74.1114362
"Brokered by Apaus, Inc",Condo,1300000,2,2,1244.0,Forest Hills,"10724 71st Rd Apt 9FForest Hills, NY 11375",New York,Queens County,Queens,40.7202429,-73.8430513
Brokered by Keller Williams Ny Realty,Multi-family home,1100000,6,3,2837.0,Bronx,"1038 Throggs Neck Expy Unit SrBronx, NY 10465",United States,New York,Bronx County,40.8343936,-73.8221101
Brokered by Martino Realty Group,Condo,349900,1,1,651.0,Staten Island,"165 Cromwell Ave Apt 2BStaten Island, NY 10304",New York,Richmond County,Staten Island,40.5902064,-74.0958034
Brokered by Elizabeth Marra,House,750000,2,2,1330.0,Staten Island,"280 Loretto StStaten Island, NY 10307",United States,New York,Richmond County,40.5039785,-74.2396555
Brokered by CENTURY 21 Milestone Realty,Multi-family home,1690000,6,4,2200.0,Briarwood,"149-07 85 RdBriarwood, NY 11435",United States,New York,Queens County,40.710749,-73.809486
"Brokered by Nest Seekers International, Long Island",Co-op,325000,1,1,2184.207862,Queens,"35-45 81st St Unit E1Queens, NY 11372",New York,Queens County,Queens,40.7505078,-73.8851355
Brokered by Century 21 Realty First,Multi-family home,2250000,12,2,5670.0,Brooklyn,"2361 81st StBrooklyn, NY 11214",11214,United States,New York,40.602654,-73.9869399
Brokered by Du Chris Realty,Co-op,230000,1,1,2184.207862,Jackson Heights,"33-24 Junction Blvd Unit 6RJackson Heights, NY 11372",United States,New York,Queens County,40.7557689,-73.8734231
Brokered by Ashford Homes,Multi-family home,1299888,10,6,3156.0,Staten Island,"310-312 Hillside AveStaten Island, NY 10304",New York,Richmond County,Staten Island,40.6155667,-74.0869554
NoBroker,Multi-family home,925000,5,2,2750.0,Bronx,"543 Hollywood AveBronx, NY 10465",United States,New York,Bronx County,40.8242389,-73.8173809
Brokered by Get Listed Get Sold NYC,Condo,329000,1,2,794.0,Staten Island,"47 Lynn CtStaten Island, NY 10314",United States,New York,Richmond County,40.6210398,-74.1504313
Brokered by RJM Realty Empire Inc.,Multi-family home,1300000,10,8,5040.0,Staten Island,"366 Union Ave Unit 4Staten Island, NY 10303",New York,Richmond County,Staten Island,40.6274381,-74.1581613
Brokered by RE MAX Edge,Multi-family home,848000,5,4,2080.0,Brooklyn,"544 Hinsdale StBrooklyn, NY 11207",United States,New York,Kings County,40.6615475,-73.898309
Brokered by H P Greenfield Real Estate Ltd,Co-op,279000,1,1,750.0,Brooklyn,"1801 Ocean Ave Apt 4ABrooklyn, NY 11230",New York,Kings County,Brooklyn,40.6179165,-73.9546305
Brokered by Ashford Homes LLC,Condo,528000,1,1,602.0,Brooklyn,"1238 63rd St Unit 432Brooklyn, NY 11219",New York,Kings County,Brooklyn,40.6275896,-74.0016198
Brokered by Ashford Homes,Multi-family home,1299888,11,4,3156.0,Staten Island,"310-312 Hillside AveStaten Island, NY 10304",New York,Richmond County,Staten Island,40.6155667,-74.0869554
Brokered by E Realty International Corp,Co-op,275000,1,1,2184.207862,Flushing,"44-55 Kissena Blvd Unit 5FFlushing, NY 11355",New York,Queens County,Queens,40.7528774,-73.8211834
Brokered by Corcoran Park Slope,Condo,1165000,1,1,815.0,Brooklyn,"338 Berry St Apt 4EBrooklyn, NY 11249",New York,Kings County,Brooklyn,40.711969,-73.9649468
Brokered by Staten Island Homes Realty Corp,Multi-family home,1199000,6,5,3290.0,Staten Island,"10 Simon CtStaten Island, NY 10307",United States,New York,Richmond County,40.5159256,-74.2361135
Brokered by Exp Realty,Multi-family home,700000,6,2,3053.0,Bronx,"229 W Tremont Ave Unit ABronx, NY 10453",United States,New York,Bronx County,40.852813,-73.9176871
Brokered by Century 21 Realty First,Multi-family home,2150000,8,4,3200.0,Brooklyn,"2226 63rd StBrooklyn, NY 11204",United States,New York,Kings County,40.614446,-73.9795824
Brokered by E Realty International Corp,Multi-family home,1280000,7,5,2460.0,Woodhaven,"86-05 91st AveWoodhaven, NY 11421",United States,New York,Queens County,40.688312,-73.856322
Brokered by Brown Harris Stevens,Co-op,199900,1,1,2184.207862,Bronx,"828 Gerard Ave Apt 5FBronx, NY 10451",New York,Bronx County,The Bronx,40.8260352,-73.9256625
Brokered by Winzone Realty Inc,Co-op,369000,2,1,2184.207862,Flushing,"43-40 Union St Unit 3DFlushing, NY 11355",New York,Queens County,Queens,40.753455,-73.8209077
Brokered by Prestige Homes Ny Inc,Multi-family home,699000,4,3,1591.0,Jamaica,"111-31 141st StJamaica, NY 11435",United States,New York,Queens County,40.6847504,-73.8027331
Brokered by Brown Harris Stevens,Co-op,4250000,3,2,2400.0,Manhattan,"123 Prince St Unit 1Manhattan, NY 10012",New York,New York County,New York,40.725464,-73.9999212
Brokered by Weichert Realtors TMT Group,Multi-family home,825000,2,2,2184.207862,Flushing,"32-39 Jordan StFlushing, NY 11358",United States,New York,Queens County,40.768457,-73.789417
Brokered by American Homes Group,Condo,329000,2,1,837.0,Staten Island,"55 Austin Pl Apt 4LStaten Island, NY 10304",New York,Richmond County,Staten Island,40.6315346,-74.0856344
Brokered by Wonica REALTORS & Appraisers,Multi-family home,889000,2,2,1520.0,Staten Island,"17 S Greenleaf AveStaten Island, NY 10314",United States,New York,Richmond County,40.6233188,-74.1259917
Brokered by First Class Homes Inc,Multi-family home,769000,2,2,2184.207862,Richmond Hill South,"101-55 112th StRichmond Hill South, NY 11419",United States,New York,Queens County,40.6868333,-73.8309133
Brokered by eXp Realty BKNY,Multi-family home,1200000,4,2,2536.0,Brooklyn,"66 Bay 22nd StBrooklyn, NY 11214",United States,New York,Kings County,40.6042861,-74.0012526
Brokered by VYLLA HOME,Co-op,220500,2,1,900.0,Staten Island,"350 Richmond Ter Apt 3MStaten Island, NY 10301",New York,Richmond County,Staten Island,40.6481488,-74.0847983
Brokered by RE MAX Edge,Multi-family home,1999000,3,3,2739.0,Brooklyn,"259 80th StBrooklyn, NY 11209",United States,New York,Kings County,40.6281691,-74.0297598
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op,3250000,2,2,1300.0,New York,"240 Centre St Unit 2MNew York, NY 10013",New York County,New York,Manhattan,40.7199716,-73.9980266
Brokered by Douglas Elliman  -111 Fifth Ave,Condo,1650000,2,2,1267.0,Brooklyn,"473 Hicks St Apt 4Brooklyn, NY 11231",New York,Kings County,Brooklyn,40.6866098,-73.9997131
"Brokered by Homes R Us Realty of NY, Inc.",Multi-family home,1049000,4,4,2554.0,Staten Island,"342 Manhattan StStaten Island, NY 10307",United States,New York,Richmond County,40.5016233,-74.2417531
Brokered by American Homes Group,House,998800,3,4,2400.0,Staten Island,"1191 Clove RdStaten Island, NY 10301",United States,New York,Richmond County,40.6175,-74.103996
Brokered by American Homes Group,House,998800,3,4,2400.0,Staten Island,"Waldron AveStaten Island, NY 10301",10301,United States,New York,40.618648,-74.1019085
Brokered by DEGI - Douglas Elliman Real Estate,For sale,3150000,3,2,1952.0,Brooklyn,"184 Lincoln Pl Unit 2Brooklyn, NY 11217",New York,Kings County,Brooklyn,40.6754035,-73.9742051
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op,849000,1,1,2184.207862,Manhattan,"263 W End Ave Apt 14CManhattan, NY 10023",New York,New York County,New York,40.7802357,-73.9846328
Brokered by Piastro Realty LLC,Co-op,559500,1,1,800.0,Brooklyn,"50 Brighton 1 Rd Unit 5HBrooklyn, NY 11235",New York,Kings County,Brooklyn,40.5751942,-73.9669983
Brokered by Douglas Elliman - 575 Madison Ave,Co-op,750000,1,1,835.0,New York,"333 E 66th St Apt 8ENew York, NY 10065",New York,New York County,New York,40.7643711,-73.9593578
Brokered by Douglas Elliman - 575 Madison Ave,Condo,1900000,2,2,1029.0,New York,"150 Rivington St Apt 3GNew York, NY 10002",New York,New York County,New York,40.7193408,-73.9856438
Brokered by Corcoran Williamsburg Bedford,Condo,1250000,2,2,1201.0,Brooklyn,"1105 Cortelyou Rd # 301Brooklyn, NY 11218",New York,Kings County,Brooklyn,40.6400234,-73.9676099
Brokered by COMPASS,Condo,1395000,2,2,1182.0,Brooklyn,"737 Bergen St Apt 1BBrooklyn, NY 11238",New York,Kings County,Brooklyn,40.6787789,-73.9643728
Brokered by Monticello Real Estate Group,Co-op,198000,1,1,2184.207862,Woodhaven,"83-55 Woodhaven Blvd Unit 1AWoodhaven, NY 11421",New York,Queens County,Queens,40.700309,-73.8535466
Brokered by Better Homes and Gardens Real Estate Safari Realty,Contingent,619888,3,2,1400.0,Staten Island,"35 Center PlStaten Island, NY 10306",United States,New York,Richmond County,40.5632116,-74.1002521
Brokered by Ashford Homes,Multi-family home,1489000,6,2,3780.0,Staten Island,"205 Wiman AveStaten Island, NY 10308",United States,New York,Richmond County,40.5395319,-74.1450877
Brokered by Serhant,Condo,1595000,3,3,1413.0,Brooklyn,"924 Lafayette Ave Unit PhBrooklyn, NY 11221",United States,New York,Kings County,40.6915139,-73.935444
Brokered by Douglas Elliman - 575 Madison Ave,Condo,655000,3,2,803.0,Brooklyn,"1504 Jefferson Ave Unit GardenbBrooklyn, NY 11237",United States,New York,Kings County,40.6967268,-73.9074036
Brokered by Serhant,Condo,1175000,2,2,1115.0,Brooklyn,"924 Lafayette Ave Apt 2Brooklyn, NY 11221",New York,Kings County,Brooklyn,40.6915139,-73.935444
Brokered by E Realty International Corp,Multi-family home,2880000,9,2,2350.0,Whitestone,"16-33 166th StWhitestone, NY 11357",United States,New York,Queens County,40.7832094,-73.7967588
Brokered by Momentum Real Estate LLC,Multi-family home,798000,3,4,2150.0,Staten Island,"425 Father Capodanno BlvdStaten Island, NY 10305",United States,New York,Richmond County,40.5874844,-74.0701056
"Brokered by Apaus, Inc",Land,1685000,3,2,2184.207862,Ridgewood,"519 Fairview AveRidgewood, NY 11385",United States,New York,Queens County,40.7083434,-73.9081614
"Brokered by Dom Realty, Inc",Land,2550000,3,2,2184.207862,Brooklyn,"234 Ocean View AveBrooklyn, NY 11235",United States,New York,Kings County,40.5785288,-73.9655666
Brokered by Meyers Enterprise Realty Group,Land,119000,3,2,2184.207862,Bronx,"3652 DE Reimer AveBronx, NY 10466",United States,New York,Bronx County,40.8841699,-73.8388387
Brokered by Gosen Properties Inc,Foreclosure,269000,5,2,2184.207862,Rosedale,"24149 148th DrRosedale, NY 11422",United States,New York,Queens County,40.6534433,-73.741373
Brokered by Douglas Elliman - 575 Madison Ave,Condo,1650000,2,2,1065.0,New York,"200 E 94th St Apt 414New York, NY 10128",New York,New York County,New York,40.7833546,-73.9499982
Brokered by COMPASS,Townhouse,12950000,5,4,3344.0,Manhattan,"214 W 11th StManhattan, NY 10014",United States,New York,New York County,40.7363219,-74.0018035
Brokered by Brown Harris Stevens - 1926 Broadway,Condo,5750000,3,2,2223.0,Manhattan,"250 E 21st St Unit 12BManhattan, NY 10010",New York,New York County,New York,40.736608,-73.9822819
Brokered by Sowae Corp,Multi-family home,250000,5,2,2184.207862,Jamaica,"130-24 150th StJamaica, NY 11436",United States,New York,Queens County,40.66911,-73.789339
Brokered by Charles Rutenberg Realty Inc,Pending,950000,6,2,3384.0,Jamaica,"254-06 Craft Ave Unit 2Jamaica, NY 11422",New York,Queens County,Queens,40.6499031,-73.7354706
Brokered by Keller Williams Realty Empire,House,585000,3,2,1100.0,Staten Island,"192 Colfax AveStaten Island, NY 10306",United States,New York,Richmond County,40.5784263,-74.105437
Brokered by BROWN HARRIS STEVENS BROOKLYN LLC,House,8750000,6,6,2184.207862,Brooklyn,"8200 Narrows AveBrooklyn, NY 11209",United States,New York,Kings County,40.6282935,-74.0379695
"Brokered by Tom Marco Real Estate, Inc.",House,595000,3,1,1316.0,Brooklyn,"1509 E 48th StBrooklyn, NY 11234",United States,New York,Kings County,40.6239146,-73.9291226
Brokered by Engel & Volkers Brownstone Brooklyn,Condo,215000,1,1,625.0,New York,"195 Prince St Unit 1LLNew York, NY 10012",New York,New York County,New York,40.7267732,-74.002538
Built by Toll Brothers,For sale,950000,1,1,621.0,New York,"The Rockwell # 3ANew York, NY 10025",United States,New York,New York County,40.7986579,-73.9679035
Brokered by Sowae Corp,House,314000,3,1,1572.0,Brooklyn,"850 E 39th StBrooklyn, NY 11210",United States,New York,Kings County,40.6362368,-73.939679
Brokered by Brown Harris Stevens,Condo,395000,5,1,1000.0,Manhattan,"110 E 71st St Unit MedicalManhattan, NY 10021",United States,New York,New York County,40.7700395,-73.9638872
Brokered by Prospes Real Estate Corp,Multi-family home,600000,2,2,2184.207862,Bronx,"1406 Mac Donough PlBronx, NY 10465",United States,New York,Bronx County,40.8429545,-73.8249591
Brokered by EXP Realty,Multi-family home,790000,6,3,2520.0,Staten Island,"78 Mountainview AveStaten Island, NY 10314",United States,New York,Richmond County,40.6105856,-74.1268175
Brokered by STROFFOLINO REALTY LLC,Co-op,539000,2,2,1100.0,Brooklyn,"9425 Shore Rd Apt 4FBrooklyn, NY 11209",New York,Kings County,Brooklyn,40.6170731,-74.0383836
Brokered by Douglas Elliman - 3544 Johnson Ave,Co-op,1295000,4,2,1995.0,Bronx,"2501 Palisade Ave Apt H2Bronx, NY 10463",New York,Bronx County,The Bronx,40.8809873,-73.9224337
Brokered by Sowae Corp,House,245000,3,1,2184.207862,Bronx,"2942 Lurting AveBronx, NY 10469",United States,New York,Bronx County,40.8690109,-73.8564445
Brokered by Americas Real Estate Advisors,House,400000,7,3,2385.0,Bronx,"340 E 234th StBronx, NY 10470",United States,New York,Bronx County,40.8969146,-73.8654984
Brokered by Brown Harris Stevens,Co-op,280000,1,1,1000.0,Brooklyn,"8015 6th Ave Apt A1Brooklyn, NY 11209",New York,Kings County,Brooklyn,40.6241766,-74.0216837
Brokered by Top Choice Realty LLC,House,899000,3,2,1440.0,Staten Island,"40 Adelphi AveStaten Island, NY 10309",United States,New York,Richmond County,40.5159004,-74.2314825
Built by Toll Brothers,For sale,2280000,2,2,1400.0,New York,"The Rockwell # 6ENew York, NY 10025",United States,New York,New York County,40.7986579,-73.9679035
Brokered by Cross Country Realty,Coming Soon,649000,4,3,2184.207862,Brooklyn,"194 Carroll StBrooklyn, NY 11231",United States,New York,Kings County,40.6813429,-73.9981509
Brokered by Charles Rutenberg Realty Inc,Pending,739000,6,4,2184.207862,Brooklyn,"38 Dare CtBrooklyn, NY 11229",United States,New York,Kings County,40.5877991,-73.9216187
Brokered by AmeriHomes Realty,House,1495000,4,2,3000.0,Staten Island,"31 4th CtStaten Island, NY 10312",United States,New York,Richmond County,40.5247627,-74.1681035
Brokered by Douglas Elliman - 187 Seventh Ave,House,3950000,5,2,3528.0,Brooklyn,"591 4th StBrooklyn, NY 11215",United States,New York,Kings County,40.6680619,-73.9748375
Brokered by Avenues - Headquarters,Condo,325000,2,1,979.0,New York,"122 E 102nd St Apt 5BNew York, NY 10029",New York,New York County,New York,40.7897507,-73.9487257
Brokered by Corcoran Chelsea/Flatiron,Pending,299999,3,1,2184.207862,New York,"215 W 75th St Apt 4DNew York, NY 10023",New York,New York County,New York,40.7810583,-73.9808407
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse,2695000,6,5,4720.0,New York,"327 Convent AveNew York, NY 10031",United States,New York,New York County,40.8235127,-73.9467514
NoBroker,Pending,4800000,6,2,3958.0,Brooklyn,"1151 83rd StBrooklyn, NY 11228",United States,New York,Kings County,40.6178184,-74.0151165
Brokered by Compass Realty Central Inc.,House,694000,3,3,1360.0,Staten Island,"364 Armstrong AveStaten Island, NY 10308",United States,New York,Richmond County,40.5423126,-74.1555672
Brokered by Douglas Elliman - 3544 Johnson Ave,House,688888,4,2,2846.0,Bronx,"761 S Oak DrBronx, NY 10467",United States,New York,Bronx County,40.8726182,-73.8651768
Brokered by Sowae Corp,House,400000,4,2,1980.0,Brooklyn,"781 Sheperd AveBrooklyn, NY 11208",United States,New York,Kings County,40.665357,-73.8770867
Brokered by Sowae Corp,Multi-family home,346000,5,2,2184.207862,Ozone Park,"103-12 104th StOzone Park, NY 11417",United States,New York,Queens County,40.6837891,-73.8381042
Brokered by Sowae Corp,House,265000,3,1,2184.207862,Springfield Gardens,"135-38 224th StSpringfield Gardens, NY 11413",United States,New York,Queens County,40.67538,-73.7472571
Brokered by Winzone Realty Inc,House,319000,3,2,1224.0,Staten Island,"57 Neutral AveStaten Island, NY 10306",United States,New York,Richmond County,40.5604695,-74.1018925
Brokered by Exp Realty,House,1100000,9,4,3276.0,New York,"421 W 154th StNew York, NY 10032",United States,New York,New York County,40.8307115,-73.9424229
Brokered by Sowae Corp,Multi-family home,309000,6,2,2184.207862,Far Rockaway,"2918 Brookhaven AveFar Rockaway, NY 11691",United States,New York,Queens County,40.5980695,-73.7632649
Brokered by Keller Williams Realty Liberty,House,650000,3,2,1522.0,Bellerose,"237-14 93rd RdBellerose, NY 11426",United States,New York,Queens County,40.723245,-73.7293286
Brokered by Rise Realty,House,799000,4,2,1975.0,Staten Island,"604 Lamont AveStaten Island, NY 10312",United States,New York,Richmond County,40.5387812,-74.193378
Brokered by Berkshire Hathaway HomeServices New York Properties - Eastchester,Co-op,259000,3,2,1089.0,Bronx,"7E Edgewater Park Unit EBronx, NY 10465",United States,New York,Bronx County,40.8246371,-73.8072061
Brokered by DiTommaso Real Estate,House,1195000,4,4,2704.0,Staten Island,"52 Indale AveStaten Island, NY 10309",United States,New York,Richmond County,40.5143019,-74.2044734
Brokered by Serhant,Condo,17500000,5,6,5499.0,New York,"37 Warren St Unit PhcdNew York, NY 10007",United States,New York,New York County,40.7143354,-74.0087443
Brokered by Salmon Realty Group,Condo,189000,2,2,966.0,Staten Island,"20 Cliff St Apt 6DStaten Island, NY 10305",New York,Richmond County,Staten Island,40.6109595,-74.060351
Brokered by Midas Realty,Condo,759000,3,2,1200.0,Bayside,"206-04 Emily Rd Unit 37MBayside, NY 11360",New York,Queens County,Queens,40.7881763,-73.7877051
Brokered by ONLY NINE REALTY LLC,House,275000,4,1,2184.207862,Brooklyn,"579 E 29th StBrooklyn, NY 11210",United States,New York,Kings County,40.6366859,-73.9488175
Brokered by COMPASS,Condo,499000,1,1,630.0,Manhattan,"157 E 72nd St Apt 8IManhattan, NY 10021",New York,New York County,New York,40.7702318,-73.9610161
Brokered by TREBACH REALTY INC,House,1249000,3,2,2184.207862,Bronx,"3021 Arlington AveBronx, NY 10463",United States,New York,Bronx County,40.8822913,-73.9137305
Brokered by Utopia Real Estate,Co-op,69900,2,1,700.0,Bronx,"61 Edgewater Park Unit BBronx, NY 10465",United States,New York,Bronx County,40.8224987,-73.8111568
Brokered by Rock Realty Inc,Multi-family home,1150000,12,6,5508.0,Astoria,"32-40 48 StAstoria, NY 11103",United States,New York,Queens County,40.755049,-73.9136386
"Brokered by Island Advantage Rlty, Llc",Foreclosure,1749900,5,4,3740.0,New York,"517 W 142nd StNew York, NY 10031",United States,New York,New York County,40.824015,-73.9502067
Brokered by Charles H. Greenthal Property,Co-op,1399000,3,4,1993.0,Floral Park,"269-10 Grand Central Pkwy Unit 21WFloral Park, NY 11005",New York,Queens County,Queens,40.7566899,-73.72075
Brokered by Douglas Elliman - Roslyn,Condo,649000,3,2,1182.0,Fresh Meadows,"163-04 71st Ave Unit 122Fresh Meadows, NY 11365",New York,Queens County,Queens,40.7302938,-73.8059248
Brokered by WW Realty Group Inc,House,499000,5,2,1760.0,Bronx,"2774 Marion AveBronx, NY 10458",United States,New York,Bronx County,40.8663864,-73.8878945
Brokered by Julia B. Fee Sotheby's International Realty,Multi-family home,1050000,5,4,3132.0,Bronx,"2818 Miles AveBronx, NY 10465",United States,New York,Bronx County,40.8176549,-73.8197053
Brokered by COMPASS,Townhouse,5000000,10,9,6425.0,Manhattan,"137 W 80th StManhattan, NY 10024",United States,New York,New York County,40.7832598,-73.976047
Brokered by HOT HOMES REALTY LLC.,Pending,90000,1,1,660.0,Staten Island,"16 Mapleton AveStaten Island, NY 10306",United States,New York,Richmond County,40.574451,-74.0929448
Brokered by Exp Realty,Townhouse,650000,3,2,1638.0,Bronx,"1544 Ohm AveBronx, NY 10465",United States,New York,Bronx County,40.8454501,-73.8209766
Brokered by Douglas Elliman - 575 Madison Ave,Condo,500000,4,3,1794.0,New York,"251 W 89th St Apt 6ENew York, NY 10024",New York,New York County,New York,40.7905714,-73.9753392
Brokered by Real Estate Property Group LLC,House,350000,2,1,490.0,Staten Island,"750 Patterson AveStaten Island, NY 10306",United States,New York,Richmond County,40.5731273,-74.089182
Brokered by Corcoran Park Slope,House,1099000,4,2,2184.207862,Queens,"204-34 9th AveQueens, NY 11697",United States,New York,Queens County,40.5595612,-73.9147409
Brokered by RE MAX Boutique Realty,Co-op,90000,1,1,450.0,Bronx,"1383 Plimpton Ave Apt 1CBronx, NY 10452",New York,Bronx County,The Bronx,40.8423705,-73.9234444
Brokered by Laffey Real Estate,House,839000,4,2,2184.207862,Howard Beach,"158-35 87th StHoward Beach, NY 11414",United States,New York,Queens County,40.6590909,-73.8451972
Brokered by CENTURY 21 PROFESSIONAL REALTY,House,659000,8,3,2184.207862,Jamaica,"148-05 111th AveJamaica, NY 11435",United States,New York,Queens County,40.688533,-73.796529
Brokered by Anthony Napolitano Homes,House,399999,3,1,2184.207862,Far Rockaway,"178 Beach 24th StFar Rockaway, NY 11691",United States,New York,Queens County,40.5950021,-73.7577376
Brokered by Homefinders of SI Inc.,Condo,250000,3,1,2184.207862,Brooklyn,"3105 Avenue V Apt 1FBrooklyn, NY 11229",New York,Kings County,Brooklyn,40.5997081,-73.9344974
Built by Toll Brothers,For sale,1740000,2,2,1132.0,New York,"The Rockwell # 6HNew York, NY 10025",United States,New York,New York County,40.7986579,-73.9679035
Brokered by Epiphany Realty Llc,House,650000,4,2,2244.0,Cambria Heights,"115115 220th StCambria Heights, NY 11411",United States,New York,Queens County,40.6968706,-73.7390395
Brokered by Re/Max Edge,House,1165000,3,4,3500.0,Staten Island,"67 Dexter AveStaten Island, NY 10309",United States,New York,Richmond County,40.5397292,-74.2155251
"Brokered by Homes R Us Realty of NY, Inc.",House,729900,3,2,1150.0,Staten Island,"447 Vernon AveStaten Island, NY 10309",United States,New York,Richmond County,40.5302132,-74.1981906
Brokered by Winzone Realty Inc,House,1880000,3,4,3150.0,Brooklyn,"3758 Bayview AveBrooklyn, NY 11224",United States,New York,Kings County,40.5805262,-74.0061062
Brokered by Charles H. Greenthal Property,Co-op,449000,2,2,1549.0,Floral Park,"26910 Grand Central Pkwy Apt 22LFloral Park, NY 11005",New York,Queens County,Queens,40.7577991,-73.7159564
Brokered by Keller Williams City Views,House,1175000,3,2,2250.0,Rockaway Park,"251 Beach 140th StRockaway Park, NY 11694",United States,New York,Queens County,40.57372,-73.8577786
"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse,2750000,3,2,2184.207862,New York,"16 Gay StNew York, NY 10014",United States,New York,New York County,40.7336687,-74.000518
Brokered by Hauseit LLC,House,995000,3,2,2184.207862,Howard Beach,"159-03 83rd StHoward Beach, NY 11414",United States,New York,Queens County,40.657686,-73.8489131
Brokered by COMPASS,Condo,2000000,3,2,2000.0,Manhattan,"200 Rector Pl Unit 27EFManhattan, NY 10280",New York County,New York,Manhattan,40.7086444,-74.0161953
Brokered by Leven Real Estate - Head Office,Townhouse,15000000,8,6,2184.207862,Brooklyn,"126 Pierrepont StBrooklyn, NY 11201",United States,New York,Kings County,40.6948972,-73.9925741
Brokered by Keller Williams Rlty Landmark,House,2600000,5,4,3024.0,Bayside,"214-42 27th AveBayside, NY 11360",United States,New York,Queens County,40.7780417,-73.7739629
Brokered by Corcoran West Side,Townhouse,3500000,6,6,6000.0,New York,"51 Hamilton TerNew York, NY 10031",United States,New York,New York County,40.8229141,-73.9460622
Brokered by Corcoran East Side,Co-op,550000,1,1,2184.207862,New York,"609 Columbus Ave Apt 10INew York, NY 10024",New York,New York County,New York,40.7887084,-73.9700091
Brokered by E House Realty & Mgt. Inc.,Pending,769000,3,4,2184.207862,Staten Island,"290 Lake AveStaten Island, NY 10303",United States,New York,Richmond County,40.6291962,-74.1518654
Brokered by TALK OF THE TOWN REALTY C,House,675000,3,2,2400.0,Brooklyn,"2519 Mill AveBrooklyn, NY 11234",United States,New York,Kings County,40.610206,-73.91065
Brokered by Gateway Arms Realty Corp.,House,879000,4,2,1238.0,Staten Island,"48 Princewood AveStaten Island, NY 10309",United States,New York,Richmond County,40.5273247,-74.1983282
