TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,SUBLOCALITY,LATITUDE,LONGITUDE,AREA_PER_ROOM,BATH_PER_BED,TOTAL_ROOMS,SQFT_PER_BED,BATH_ROOM_DIFF,SIZE_CATEGORY
Condo,14.187074804051692,3,3,1855.0,Flushing,"40-26 College Point Blvd Unit 18FFlushing, NY 11354",New York,Queens,40.7573108,-73.8341865,265.0,0.75,6,463.75,0,Medium
Co-op,13.049794835104816,2,1,2184.207862,Other,"37-50 87th St Unit 6BJackson Heights, NY 11372",United States,Queens County,40.7483992,-73.8795703,546.0519655,0.3333333333333333,3,728.0692873333334,-1,Large
Condo,15.687312888712007,2,2,1639.0,New York,"1600 Broadway Ph 4CNew York, NY 10019",New York,New York,40.7601885,-73.9843625,327.8,0.6666666666666666,4,546.3333333333334,0,Medium
Co-op,12.601490784782536,1,1,800.0,Forest Hills,"102-36 64 Ave Unit 4AForest Hills, NY 11375",New York,Queens,40.7322799,-73.85181,266.6666666666667,0.5,2,400.0,0,Small
Co-op,12.408609326231229,1,1,518.0,Other,"260-46 73rd Ave Unit A1Glen Oaks, NY 11004",New York,Queens,40.7511183,-73.7160095,172.66666666666666,0.5,2,259.0,0,Small
House,14.72376952136689,4,4,5150.0,Other,"149-37 9th AveWhitestone, NY 11357",United States,Queens County,40.7932103,-73.8161976,572.2222222222222,0.8,8,1030.0,0,Luxury
Co-op,12.345838935721968,1,1,2184.207862,Forest Hills,"108-50 62 Dr Unit 3KForest Hills, NY 11375",New York,Queens,40.736005,-73.849174,728.0692873333334,0.5,2,1092.103931,0,Large
Condo,13.567050480716235,2,2,825.0,Brooklyn,"618 Avenue H # 5EBrooklyn, NY 11230",United States,Kings County,40.6288601,-73.9704912,165.0,0.6666666666666666,4,275.0,0,Small
Townhouse,15.39963086754227,3,3,2184.207862,New York,"130 E 38th StNew York, NY 10016",United States,New York County,40.748964,-73.978301,312.0296945714286,0.75,6,546.0519655,0,Large
Co-op,13.199324418540456,3,2,2184.207862,Other,"33-04 93rd St Unit 6SJackson Heights, NY 11372",New York,Queens,40.7563263,-73.8752379,364.0346436666667,0.5,5,546.0519655,-1,Large
Co-op,13.527829818844937,2,2,1193.0,Bronx,"2621 Palisade Ave Apt 16ABronx, NY 10463",New York,The Bronx,40.8825618,-73.9212739,238.6,0.6666666666666666,4,397.6666666666667,0,Medium
Condo,14.625996675583417,2,3,2321.0,New York,"211 Madison Ave Unit 22ANew York, NY 10016",New York,New York,40.7486775,-73.9819284,386.8333333333333,1.0,5,773.6666666666666,1,Large
Co-op,12.506180941677357,2,1,700.0,Other,"21-78 35 St Unit 5FAstoria, NY 11101",New York,Queens,40.7751901,-73.9090015,175.0,0.3333333333333333,3,233.33333333333334,-1,Small
Pending,12.896719202134523,2,1,2184.207862,New York,"301 E 63rd St Apt 4BNew York, NY 10065",New York,New York,40.7631466,-73.9622114,546.0519655,0.3333333333333333,3,728.0692873333334,-1,Large
Co-op,14.48334044336031,2,2,2184.207862,Manhattan,"56 Jane St Unit 4EFManhattan, NY 10014",New York,New York,40.7380264,-74.0053843,436.8415724,0.6666666666666666,4,728.0692873333334,0,Large
Co-op,12.388398368982115,2,1,2184.207862,Other,"83-85 Woodhaven Blvd Unit 2SWoodhaven, NY 11421",New York,Queens,40.6987743,-73.8529203,546.0519655,0.3333333333333333,3,728.0692873333334,-1,Large
Condo,13.350297037805756,3,2,900.0,Other,"82-25 Queens Blvd Unit 3DElmhurst, NY 11373",New York,Queens,40.7376925,-73.8803546,150.0,0.5,5,225.0,-1,Small
