TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,SUBLOCALITY,LATITUDE,LONGITUDE,AREA_PER_ROOM,BATH_PER_BED,TOTAL_ROOMS,SQFT_PER_BED,BATH_ROOM_DIFF,SIZE_CATEGORY
Condo,12.660331092405906,2,2,1400.0,New York,"2 E 55th St Unit 803New York, NY 10022",New York County,Other,40.761255,-73.9744834,280.0,0.6666666666666666,4,466.6666666666667,0,Medium
House,12.468440756144114,4,2,2015.0,Staten Island,"620 Sinclair AveStaten Island, NY 10312",United States,Richmond County,40.5418051,-74.1961086,287.85714285714283,0.4,6,403.0,-2,Large
Condo,11.141876276228,3,1,445.0,Manhattan,"2 E 55th St Unit 908W33Manhattan, NY 10022",United States,New York County,40.7613979,-73.9746128,89.0,0.25,4,111.25,-2,VerySmall
House,13.444448325847754,5,2,4004.0,Brooklyn,"584 Park PlBrooklyn, NY 11238",United States,Kings County,40.6743632,-73.9587248,500.5,0.3333333333333333,7,667.3333333333334,-3,Large
Condo,13.709595444100845,2,2,2184.207862,New York,"157 W 126th St Unit 1BNew York, NY 10027",New York,New York,40.809448,-73.946777,436.8415724,0.6666666666666666,4,728.0692873333334,0,Large
Co-op,12.487488878546145,1,1,750.0,Bronx,"875 Morrison Ave Apt 3MBronx, NY 10473",Bronx County,Other,40.8215857,-73.8740892,250.0,0.5,2,375.0,0,Small
Co-op,12.994532278619134,2,1,978.0,Brooklyn,"1350 Ocean Pkwy Apt 5GBrooklyn, NY 11230",New York,Brooklyn,40.6157378,-73.9696944,244.5,0.3333333333333333,3,326.0,-1,Small
Co-op,12.834683971615659,2,1,850.0,Bronx,"800 Grand Concourse Apt 2JSBronx, NY 10451",New York,The Bronx,40.8248699,-73.9229829,212.5,0.3333333333333333,3,283.3333333333333,-1,Small
Townhouse,13.442998001373553,3,2,1162.0,Staten Island,"456 Van Name AveStaten Island, NY 10303",United States,Richmond County,40.6249962,-74.1553058,193.66666666666666,0.5,5,290.5,-1,Medium
Co-op,12.464587201678082,3,1,2184.207862,Other,"34-41 85th St Unit 1DJackson Heights, NY 11372",New York,Queens,40.7531191,-73.8818757,436.8415724,0.25,4,546.0519655,-2,Large
Co-op,12.971542813248437,2,2,2184.207862,Other,"91-15 Lamont Ave Unit 6DElmhurst, NY 11373",New York,Queens,40.7438639,-73.8745722,436.8415724,0.6666666666666666,4,728.0692873333334,0,Large
Co-op,13.704580114574805,3,1,2184.207862,New York,"61 Jane St Apt 6NNew York, NY 10014",New York,New York,40.7382981,-74.0058899,436.8415724,0.25,4,546.0519655,-2,Large
Condo,13.215855541983634,2,2,1000.0,Staten Island,"4654 Amboy Rd Unit 2BStaten Island, NY 10312",New York,Staten Island,40.5406209,-74.1671632,200.0,0.6666666666666666,4,333.3333333333333,0,Small
Townhouse,13.790193775620484,3,2,1734.0,Other,"28-31 Hobart StWoodside, NY 11377",United States,Queens County,40.7607676,-73.9056672,289.0,0.5,5,433.5,-1,Medium
Co-op,12.201065128819632,3,1,325.0,Brooklyn,"9430 Ridge Blvd Apt 6DBrooklyn, NY 11209",New York,Brooklyn,40.6181029,-74.0369047,65.0,0.25,4,81.25,-2,VerySmall
Co-op,12.765691290604371,1,1,700.0,Bronx,"5800 Arlington Ave Apt 21ABronx, NY 10471",New York,The Bronx,40.9073699,-73.9065578,233.33333333333334,0.5,2,350.0,0,Small
Condo,13.303018546545275,2,2,974.0,Other,"92-29 Queens Blvd Unit 3HRego Park, NY 11374",New York,Queens,40.7324713,-73.8670804,194.8,0.6666666666666666,4,324.6666666666667,0,Small
House,13.369223455335854,3,2,1260.0,Staten Island,"27 Clove WayStaten Island, NY 10301",United States,Richmond County,40.6207403,-74.1114362,210.0,0.5,5,315.0,-1,Medium
Condo,14.077875591662238,2,2,1244.0,Forest Hills,"10724 71st Rd Apt 9FForest Hills, NY 11375",New York,Queens,40.7202429,-73.8430513,248.8,0.6666666666666666,4,414.6666666666667,0,Medium
Multi-family home,13.910821646859095,6,3,2837.0,Bronx,"1038 Throggs Neck Expy Unit SrBronx, NY 10465",United States,Bronx County,40.8343936,-73.8221101,283.7,0.42857142857142855,9,405.2857142857143,-3,Large
Condo,12.765405536311112,1,1,651.0,Staten Island,"165 Cromwell Ave Apt 2BStaten Island, NY 10304",New York,Staten Island,40.5902064,-74.0958034,217.0,0.5,2,325.5,0,Small
House,13.527829818844937,2,2,1330.0,Staten Island,"280 Loretto StStaten Island, NY 10307",United States,Richmond County,40.5039785,-74.2396555,266.0,0.6666666666666666,4,443.3333333333333,0,Medium
Multi-family home,14.340239678615058,6,4,2200.0,Other,"149-07 85 RdBriarwood, NY 11435",United States,Queens County,40.710749,-73.809486,200.0,0.5714285714285714,10,314.2857142857143,-2,Large
Co-op,12.691583538230217,1,1,2184.207862,Queens,"35-45 81st St Unit E1Queens, NY 11372",New York,Queens,40.7505078,-73.8851355,728.0692873333334,0.5,2,1092.103931,0,Large
Multi-family home,14.626441218624949,12,2,5670.0,Brooklyn,"2361 81st StBrooklyn, NY 11214",11214,New York,40.602654,-73.9869399,378.0,0.15384615384615385,14,436.15384615384613,-10,Luxury
Co-op,12.345838935721968,1,1,2184.207862,Other,"33-24 Junction Blvd Unit 6RJackson Heights, NY 11372",United States,Queens County,40.7557689,-73.8734231,728.0692873333334,0.5,2,1092.103931,0,Large
Multi-family home,14.077789434170906,10,6,3156.0,Staten Island,"310-312 Hillside AveStaten Island, NY 10304",New York,Staten Island,40.6155667,-74.0869554,185.64705882352942,0.5454545454545454,16,286.90909090909093,-4,Large
Multi-family home,13.73755009757506,5,2,2750.0,Bronx,"543 Hollywood AveBronx, NY 10465",United States,Bronx County,40.8242389,-73.8173809,343.75,0.3333333333333333,7,458.3333333333333,-3,Large
Condo,12.703816069256568,1,2,794.0,Staten Island,"47 Lynn CtStaten Island, NY 10314",United States,Richmond County,40.6210398,-74.1504313,198.5,1.0,3,397.0,1,Small
Multi-family home,14.077875591662238,10,8,5040.0,Staten Island,"366 Union Ave Unit 4Staten Island, NY 10303",New York,Staten Island,40.6274381,-74.1581613,265.2631578947368,0.7272727272727273,18,458.1818181818182,-2,Luxury
Multi-family home,13.650637094018627,5,4,2080.0,Brooklyn,"544 Hinsdale StBrooklyn, NY 11207",United States,Kings County,40.6615475,-73.898309,208.0,0.6666666666666666,9,346.6666666666667,-1,Large
Co-op,12.53897064502647,1,1,750.0,Brooklyn,"1801 Ocean Ave Apt 4ABrooklyn, NY 11230",New York,Brooklyn,40.6179165,-73.9546305,250.0,0.5,2,375.0,0,Small
Condo,13.176853456625999,1,1,602.0,Brooklyn,"1238 63rd St Unit 432Brooklyn, NY 11219",New York,Brooklyn,40.6275896,-74.0016198,200.66666666666666,0.5,2,301.0,0,Small
Multi-family home,14.077789434170906,11,4,3156.0,Staten Island,"310-312 Hillside AveStaten Island, NY 10304",New York,Staten Island,40.6155667,-74.0869554,197.25,0.3333333333333333,15,263.0,-7,Large
Co-op,12.524530013005734,1,1,2184.207862,Flushing,"44-55 Kissena Blvd Unit 5FFlushing, NY 11355",New York,Queens,40.7528774,-73.8211834,728.0692873333334,0.5,2,1092.103931,0,Large
Condo,13.968232503350668,1,1,815.0,Brooklyn,"338 Berry St Apt 4EBrooklyn, NY 11249",New York,Brooklyn,40.711969,-73.9649468,271.6666666666667,0.5,2,407.5,0,Small
Multi-family home,13.99699926803766,6,5,3290.0,Staten Island,"10 Simon CtStaten Island, NY 10307",United States,Richmond County,40.5159256,-74.2361135,274.1666666666667,0.7142857142857143,11,470.0,-1,Large
Multi-family home,13.45883704259595,6,2,3053.0,Bronx,"229 W Tremont Ave Unit ABronx, NY 10453",United States,Bronx County,40.852813,-73.9176871,339.22222222222223,0.2857142857142857,8,436.14285714285717,-4,Large
Multi-family home,14.580978865220017,8,4,3200.0,Brooklyn,"2226 63rd StBrooklyn, NY 11204",United States,Kings County,40.614446,-73.9795824,246.15384615384616,0.4444444444444444,12,355.55555555555554,-4,Large
Multi-family home,14.062371417145494,7,5,2460.0,Other,"86-05 91st AveWoodhaven, NY 11421",United States,Queens County,40.688312,-73.856322,189.23076923076923,0.625,12,307.5,-2,Large
Co-op,12.20557752297723,1,1,2184.207862,Bronx,"828 Gerard Ave Apt 5FBronx, NY 10451",New York,The Bronx,40.8260352,-73.9256625,728.0692873333334,0.5,2,1092.103931,0,Large
Co-op,12.818554633046093,2,1,2184.207862,Flushing,"43-40 Union St Unit 3DFlushing, NY 11355",New York,Queens,40.753455,-73.8209077,546.0519655,0.3333333333333333,3,728.0692873333334,-1,Large
Multi-family home,13.457407451830088,4,3,1591.0,Jamaica,"111-31 141st StJamaica, NY 11435",United States,Queens County,40.6847504,-73.8027331,198.875,0.6,7,318.2,-1,Medium
Co-op,15.26242977619469,3,2,2400.0,Manhattan,"123 Prince St Unit 1Manhattan, NY 10012",New York,New York,40.725464,-73.9999212,400.0,0.5,5,600.0,-1,Large
Multi-family home,13.623139877437296,2,2,2184.207862,Flushing,"32-39 Jordan StFlushing, NY 11358",United States,Queens County,40.768457,-73.789417,436.8415724,0.6666666666666666,4,728.0692873333334,0,Large
Condo,12.703816069256568,2,1,837.0,Staten Island,"55 Austin Pl Apt 4LStaten Island, NY 10304",New York,Staten Island,40.6315346,-74.0856344,209.25,0.3333333333333333,3,279.0,-1,Small
Multi-family home,13.697853639354802,2,2,1520.0,Staten Island,"17 S Greenleaf AveStaten Island, NY 10314",United States,Richmond County,40.6233188,-74.1259917,304.0,0.6666666666666666,4,506.6666666666667,0,Medium
Multi-family home,13.552847548877052,2,2,2184.207862,Other,"101-55 112th StRichmond Hill South, NY 11419",United States,Queens County,40.6868333,-73.8309133,436.8415724,0.6666666666666666,4,728.0692873333334,0,Large
Multi-family home,13.997832948091215,4,2,2536.0,Brooklyn,"66 Bay 22nd StBrooklyn, NY 11214",United States,Kings County,40.6042861,-74.0012526,362.2857142857143,0.4,6,507.2,-2,Large
Co-op,12.303657509006147,2,1,900.0,Staten Island,"350 Richmond Ter Apt 3MStaten Island, NY 10301",New York,Staten Island,40.6481488,-74.0847983,225.0,0.3333333333333333,3,300.0,-1,Small
Multi-family home,14.508158113732536,3,3,2739.0,Brooklyn,"259 80th StBrooklyn, NY 11209",United States,Kings County,40.6281691,-74.0297598,391.2857142857143,0.75,6,684.75,0,Large
Co-op,14.99416586199818,2,2,1300.0,New York,"240 Centre St Unit 2MNew York, NY 10013",New York County,Other,40.7199716,-73.9980266,260.0,0.6666666666666666,4,433.3333333333333,0,Medium
Condo,14.316286451937186,2,2,1267.0,Brooklyn,"473 Hicks St Apt 4Brooklyn, NY 11231",New York,Brooklyn,40.6866098,-73.9997131,253.4,0.6666666666666666,4,422.3333333333333,0,Medium
Multi-family home,13.863348840666827,4,4,2554.0,Staten Island,"342 Manhattan StStaten Island, NY 10307",United States,Richmond County,40.5016233,-74.2417531,283.77777777777777,0.8,8,510.8,0,Large
House,13.814310838588696,3,4,2400.0,Staten Island,"1191 Clove RdStaten Island, NY 10301",United States,Richmond County,40.6175,-74.103996,300.0,1.0,7,600.0,1,Large
House,13.814310838588696,3,4,2400.0,Staten Island,"Waldron AveStaten Island, NY 10301",10301,New York,40.618648,-74.1019085,300.0,1.0,7,600.0,1,Large
Other,14.962913328262083,3,2,1952.0,Brooklyn,"184 Lincoln Pl Unit 2Brooklyn, NY 11217",New York,Brooklyn,40.6754035,-73.9742051,325.3333333333333,0.5,5,488.0,-1,Medium
Co-op,13.651815643149092,1,1,2184.207862,Manhattan,"263 W End Ave Apt 14CManhattan, NY 10023",New York,New York,40.7802357,-73.9846328,728.0692873333334,0.5,2,1092.103931,0,Large
Co-op,13.234800594042618,1,1,800.0,Brooklyn,"50 Brighton 1 Rd Unit 5HBrooklyn, NY 11235",New York,Brooklyn,40.5751942,-73.9669983,266.6666666666667,0.5,2,400.0,0,Small
Co-op,13.527829818844937,1,1,835.0,New York,"333 E 66th St Apt 8ENew York, NY 10065",New York,New York,40.7643711,-73.9593578,278.3333333333333,0.5,2,417.5,0,Small
Condo,14.45736497045232,2,2,1029.0,New York,"150 Rivington St Apt 3GNew York, NY 10002",New York,New York,40.7193408,-73.9856438,205.8,0.6666666666666666,4,343.0,0,Medium
Condo,14.038654909278163,2,2,1201.0,Brooklyn,"1105 Cortelyou Rd # 301Brooklyn, NY 11218",New York,Brooklyn,40.6400234,-73.9676099,240.2,0.6666666666666666,4,400.3333333333333,0,Medium
Condo,14.148405690083225,2,2,1182.0,Brooklyn,"737 Bergen St Apt 1BBrooklyn, NY 11238",New York,Brooklyn,40.6787789,-73.9643728,236.4,0.6666666666666666,4,394.0,0,Medium
Co-op,12.19602736016897,1,1,2184.207862,Other,"83-55 Woodhaven Blvd Unit 1AWoodhaven, NY 11421",New York,Queens,40.700309,-73.8535466,728.0692873333334,0.5,2,1092.103931,0,Large
Contingent,13.337295708735022,3,2,1400.0,Staten Island,"35 Center PlStaten Island, NY 10306",United States,Richmond County,40.5632116,-74.1002521,233.33333333333334,0.5,5,350.0,-1,Medium
Multi-family home,14.213615983257593,6,2,3780.0,Staten Island,"205 Wiman AveStaten Island, NY 10308",United States,Richmond County,40.5395319,-74.1450877,420.0,0.2857142857142857,8,540.0,-4,Large
Condo,14.282384921160133,3,3,1413.0,Brooklyn,"924 Lafayette Ave Unit PhBrooklyn, NY 11221",United States,Kings County,40.6915139,-73.935444,201.85714285714286,0.75,6,353.25,0,Medium
Condo,13.39239204133378,3,2,803.0,Brooklyn,"1504 Jefferson Ave Unit GardenbBrooklyn, NY 11237",United States,Kings County,40.6967268,-73.9074036,133.83333333333334,0.5,5,200.75,-1,Small
Condo,13.976779556623864,2,2,1115.0,Brooklyn,"924 Lafayette Ave Apt 2Brooklyn, NY 11221",New York,Brooklyn,40.6915139,-73.935444,223.0,0.6666666666666666,4,371.6666666666667,0,Medium
Multi-family home,14.873301199334291,9,2,2350.0,Other,"16-33 166th StWhitestone, NY 11357",United States,Queens County,40.7832094,-73.7967588,195.83333333333334,0.2,11,235.0,-7,Large
Multi-family home,13.589865129563993,3,4,2150.0,Staten Island,"425 Father Capodanno BlvdStaten Island, NY 10305",United States,Richmond County,40.5874844,-74.0701056,268.75,1.0,7,537.5,1,Large
Land,14.337276715240233,3,2,2184.207862,Other,"519 Fairview AveRidgewood, NY 11385",United States,Queens County,40.7083434,-73.9081614,364.0346436666667,0.5,5,546.0519655,-1,Large
Land,14.751604309291395,3,2,2184.207862,Brooklyn,"234 Ocean View AveBrooklyn, NY 11235",United States,Kings County,40.5785288,-73.9655666,364.0346436666667,0.5,5,546.0519655,-1,Large
Land,11.686887175419702,3,2,2184.207862,Bronx,"3652 DE Reimer AveBronx, NY 10466",United States,Bronx County,40.8841699,-73.8388387,364.0346436666667,0.5,5,546.0519655,-1,Large
Other,12.502470376049185,5,2,2184.207862,Other,"24149 148th DrRosedale, NY 11422",United States,Queens County,40.6534433,-73.741373,273.02598275,0.3333333333333333,7,364.0346436666667,-3,Large
Condo,14.316286451937186,2,2,1065.0,New York,"200 E 94th St Apt 414New York, NY 10128",New York,New York,40.7833546,-73.9499982,213.0,0.6666666666666666,4,355.0,0,Medium
Townhouse,16.376606423329896,5,4,3344.0,Manhattan,"214 W 11th StManhattan, NY 10014",United States,New York County,40.7363219,-74.0018035,334.4,0.6666666666666666,9,557.3333333333334,-1,Large
Condo,15.564710586686562,3,2,2223.0,Manhattan,"250 E 21st St Unit 12BManhattan, NY 10010",New York,New York,40.736608,-73.9822819,370.5,0.5,5,555.75,-1,Large
Multi-family home,12.429220196836383,5,2,2184.207862,Jamaica,"130-24 150th StJamaica, NY 11436",United States,Queens County,40.66911,-73.789339,273.02598275,0.3333333333333333,7,364.0346436666667,-3,Large
Pending,13.76421831620775,6,2,3384.0,Jamaica,"254-06 Craft Ave Unit 2Jamaica, NY 11422",New York,Queens,40.6499031,-73.7354706,376.0,0.2857142857142857,8,483.42857142857144,-4,Large
House,13.279368835614243,3,2,1100.0,Staten Island,"192 Colfax AveStaten Island, NY 10306",United States,Richmond County,40.5784263,-74.105437,183.33333333333334,0.5,5,275.0,-1,Medium
House,15.984564372619506,6,6,2184.207862,Brooklyn,"8200 Narrows AveBrooklyn, NY 11209",United States,Kings County,40.6282935,-74.0379695,168.0159893846154,0.8571428571428571,12,312.0296945714286,0,Large
House,13.296318365198623,3,1,1316.0,Brooklyn,"1509 E 48th StBrooklyn, NY 11234",United States,Kings County,40.6239146,-73.9291226,263.2,0.25,4,329.0,-2,Medium
Condo,12.278397958261774,1,1,625.0,New York,"195 Prince St Unit 1LLNew York, NY 10012",New York,New York,40.7267732,-74.002538,208.33333333333334,0.5,2,312.5,0,Small
Other,13.76421831620775,1,1,621.0,New York,"The Rockwell # 3ANew York, NY 10025",United States,New York County,40.7986579,-73.9679035,207.0,0.5,2,310.5,0,Small
House,12.657151449598695,3,1,1572.0,Brooklyn,"850 E 39th StBrooklyn, NY 11210",United States,Kings County,40.6362368,-73.939679,314.4,0.25,4,393.0,-2,Medium
Condo,12.886643575525625,5,1,1000.0,Manhattan,"110 E 71st St Unit MedicalManhattan, NY 10021",United States,New York County,40.7700395,-73.9638872,142.85714285714286,0.16666666666666666,6,166.66666666666666,-4,Small
Multi-family home,13.304686600863562,2,2,2184.207862,Bronx,"1406 Mac Donough PlBronx, NY 10465",United States,Bronx County,40.8429545,-73.8249591,436.8415724,0.6666666666666666,4,728.0692873333334,0,Large
Multi-family home,13.579789490265188,6,3,2520.0,Staten Island,"78 Mountainview AveStaten Island, NY 10314",United States,Richmond County,40.6105856,-74.1268175,252.0,0.42857142857142855,9,360.0,-3,Large
Co-op,13.197472705176983,2,2,1100.0,Brooklyn,"9425 Shore Rd Apt 4FBrooklyn, NY 11209",New York,Brooklyn,40.6170731,-74.0383836,220.0,0.6666666666666666,4,366.6666666666667,0,Medium
Co-op,14.07402202531625,4,2,1995.0,Bronx,"2501 Palisade Ave Apt H2Bronx, NY 10463",New York,The Bronx,40.8809873,-73.9224337,285.0,0.4,6,399.0,-2,Medium
House,12.409017571151187,3,1,2184.207862,Bronx,"2942 Lurting AveBronx, NY 10469",United States,Bronx County,40.8690109,-73.8564445,436.8415724,0.25,4,546.0519655,-2,Large
House,12.899222326086994,7,3,2385.0,Bronx,"340 E 234th StBronx, NY 10470",United States,Bronx County,40.8969146,-73.8654984,216.8181818181818,0.375,10,298.125,-4,Large
Co-op,12.54254845357358,1,1,1000.0,Brooklyn,"8015 6th Ave Apt A1Brooklyn, NY 11209",New York,Brooklyn,40.6241766,-74.0216837,333.3333333333333,0.5,2,500.0,0,Small
House,13.70903942580019,3,2,1440.0,Staten Island,"40 Adelphi AveStaten Island, NY 10309",United States,Richmond County,40.5159004,-74.2314825,240.0,0.5,5,360.0,-1,Medium
Other,14.639686439527019,2,2,1400.0,New York,"The Rockwell # 6ENew York, NY 10025",United States,New York County,40.7986579,-73.9679035,280.0,0.6666666666666666,4,466.6666666666667,0,Medium
Other,13.38318953651709,4,3,2184.207862,Brooklyn,"194 Carroll StBrooklyn, NY 11231",United States,Kings County,40.6813429,-73.9981509,273.02598275,0.6,7,436.8415724,-1,Large
Pending,13.513054553109397,6,4,2184.207862,Brooklyn,"38 Dare CtBrooklyn, NY 11229",United States,Kings County,40.5877991,-73.9216187,198.5643510909091,0.5714285714285714,10,312.0296945714286,-2,Large
House,14.217637433703022,4,2,3000.0,Staten Island,"31 4th CtStaten Island, NY 10312",United States,Richmond County,40.5247627,-74.1681035,428.57142857142856,0.4,6,600.0,-2,Large
House,15.18922639004183,5,2,3528.0,Brooklyn,"591 4th StBrooklyn, NY 11215",United States,Kings County,40.6680619,-73.9748375,441.0,0.3333333333333333,7,588.0,-3,Large
Condo,12.691583538230217,2,1,979.0,New York,"122 E 102nd St Apt 5BNew York, NY 10029",New York,New York,40.7897507,-73.9487257,244.75,0.3333333333333333,3,326.3333333333333,-1,Small
Pending,12.611537753638338,3,1,2184.207862,New York,"215 W 75th St Apt 4DNew York, NY 10023",New York,New York,40.7810583,-73.9808407,436.8415724,0.25,4,546.0519655,-2,Large
Townhouse,14.80690913338268,6,5,4720.0,New York,"327 Convent AveNew York, NY 10031",United States,New York County,40.8235127,-73.9467514,393.3333333333333,0.7142857142857143,11,674.2857142857143,-1,Large
Pending,15.38412668421143,6,2,3958.0,Brooklyn,"1151 83rd StBrooklyn, NY 11228",United States,Kings County,40.6178184,-74.0151165,439.77777777777777,0.2857142857142857,8,565.4285714285714,-4,Large
House,13.450228680410094,3,3,1360.0,Staten Island,"364 Armstrong AveStaten Island, NY 10308",United States,Richmond County,40.5423126,-74.1555672,194.28571428571428,0.75,6,340.0,0,Medium
House,13.44283543396941,4,2,2846.0,Bronx,"761 S Oak DrBronx, NY 10467",United States,Bronx County,40.8726182,-73.8651768,406.57142857142856,0.4,6,569.2,-2,Large
House,12.899222326086994,4,2,1980.0,Brooklyn,"781 Sheperd AveBrooklyn, NY 11208",United States,Kings County,40.665357,-73.8770867,282.85714285714283,0.4,6,396.0,-2,Medium
Multi-family home,12.754196944209095,5,2,2184.207862,Other,"103-12 104th StOzone Park, NY 11417",United States,Queens County,40.6837891,-73.8381042,273.02598275,0.3333333333333333,7,364.0346436666667,-3,Large
House,12.487488878546145,3,1,2184.207862,Other,"135-38 224th StSpringfield Gardens, NY 11413",United States,Queens County,40.67538,-73.7472571,436.8415724,0.25,4,546.0519655,-2,Large
House,12.672949516558306,3,2,1224.0,Staten Island,"57 Neutral AveStaten Island, NY 10306",United States,Richmond County,40.5604695,-74.1018925,204.0,0.5,5,306.0,-1,Medium
House,13.910821646859095,9,4,3276.0,New York,"421 W 154th StNew York, NY 10032",United States,New York County,40.8307115,-73.9424229,234.0,0.4,13,327.6,-5,Large
Multi-family home,12.6410997921206,6,2,2184.207862,Other,"2918 Brookhaven AveFar Rockaway, NY 11691",United States,Queens County,40.5980695,-73.7632649,242.68976244444445,0.2857142857142857,8,312.0296945714286,-4,Large
House,13.384729180332174,3,2,1522.0,Other,"237-14 93rd RdBellerose, NY 11426",United States,Queens County,40.723245,-73.7293286,253.66666666666666,0.5,5,380.5,-1,Medium
House,13.591117476312084,4,2,1975.0,Staten Island,"604 Lamont AveStaten Island, NY 10312",United States,Richmond County,40.5387812,-74.193378,282.14285714285717,0.4,6,395.0,-2,Medium
Co-op,12.464587201678082,3,2,1089.0,Bronx,"7E Edgewater Park Unit EBronx, NY 10465",United States,Bronx County,40.8246371,-73.8072061,181.5,0.5,5,272.25,-1,Medium
House,13.993657580167481,4,4,2704.0,Staten Island,"52 Indale AveStaten Island, NY 10309",United States,Richmond County,40.5143019,-74.2044734,300.44444444444446,0.8,8,540.8,0,Large
Condo,16.677711496036597,5,6,5499.0,New York,"37 Warren St Unit PhcdNew York, NY 10007",United States,New York County,40.7143354,-74.0087443,458.25,1.0,11,916.5,1,Luxury
Condo,12.149507585033072,2,2,966.0,Staten Island,"20 Cliff St Apt 6DStaten Island, NY 10305",New York,Staten Island,40.6109595,-74.060351,193.2,0.6666666666666666,4,322.0,0,Small
Condo,13.539758373899955,3,2,1200.0,Bayside,"206-04 Emily Rd Unit 37MBayside, NY 11360",New York,Queens,40.7881763,-73.7877051,200.0,0.5,5,300.0,-1,Medium
House,12.524530013005734,4,1,2184.207862,Brooklyn,"579 E 29th StBrooklyn, NY 11210",United States,Kings County,40.6366859,-73.9488175,364.0346436666667,0.2,5,436.8415724,-3,Large
Condo,13.120363378739663,1,1,630.0,Manhattan,"157 E 72nd St Apt 8IManhattan, NY 10021",New York,New York,40.7702318,-73.9610161,210.0,0.5,2,315.0,0,Small
House,14.037854589747907,3,2,2184.207862,Bronx,"3021 Arlington AveBronx, NY 10463",United States,Bronx County,40.8822913,-73.9137305,364.0346436666667,0.5,5,546.0519655,-1,Large
Co-op,11.154835234271214,2,1,700.0,Bronx,"61 Edgewater Park Unit BBronx, NY 10465",United States,Bronx County,40.8224987,-73.8111568,175.0,0.3333333333333333,3,233.33333333333334,-1,Small
Multi-family home,13.955273369904273,12,6,5508.0,Other,"32-40 48 StAstoria, NY 11103",United States,Queens County,40.755049,-73.9136386,289.89473684210526,0.46153846153846156,18,423.6923076923077,-6,Luxury
Other,14.375069772870901,5,4,3740.0,New York,"517 W 142nd StNew York, NY 10031",United States,New York County,40.824015,-73.9502067,374.0,0.6666666666666666,9,623.3333333333334,-1,Large
Co-op,14.151268968443645,3,4,1993.0,Other,"269-10 Grand Central Pkwy Unit 21WFloral Park, NY 11005",New York,Queens,40.7566899,-73.72075,249.125,1.0,7,498.25,1,Medium
Condo,13.38318953651709,3,2,1182.0,Other,"163-04 71st Ave Unit 122Fresh Meadows, NY 11365",New York,Queens,40.7302938,-73.8059248,197.0,0.5,5,295.5,-1,Medium
House,13.120363378739663,5,2,1760.0,Bronx,"2774 Marion AveBronx, NY 10458",United States,Bronx County,40.8663864,-73.8878945,220.0,0.3333333333333333,7,293.3333333333333,-3,Medium
Multi-family home,13.864301674514206,5,4,3132.0,Bronx,"2818 Miles AveBronx, NY 10465",United States,Bronx County,40.8176549,-73.8197053,313.2,0.6666666666666666,9,522.0,-1,Large
Townhouse,15.424948670398354,10,9,6425.0,Manhattan,"137 W 80th StManhattan, NY 10024",United States,New York County,40.7832598,-73.976047,321.25,0.8181818181818182,19,584.0909090909091,-1,Luxury
Pending,11.407576060361786,1,1,660.0,Staten Island,"16 Mapleton AveStaten Island, NY 10306",United States,Richmond County,40.574451,-74.0929448,220.0,0.5,2,330.0,0,Small
Townhouse,13.384729180332174,3,2,1638.0,Bronx,"1544 Ohm AveBronx, NY 10465",United States,Bronx County,40.8454501,-73.8209766,273.0,0.5,5,409.5,-1,Medium
Condo,13.122365377402328,4,3,1794.0,New York,"251 W 89th St Apt 6ENew York, NY 10024",New York,New York,40.7905714,-73.9753392,224.25,0.6,7,358.8,-1,Medium
House,12.765691290604371,2,1,490.0,Staten Island,"750 Patterson AveStaten Island, NY 10306",United States,Richmond County,40.5731273,-74.089182,122.5,0.3333333333333333,3,163.33333333333334,-1,VerySmall
House,13.909912143303451,4,2,2184.207862,Queens,"204-34 9th AveQueens, NY 11697",United States,Queens County,40.5595612,-73.9147409,312.0296945714286,0.4,6,436.8415724,-2,Large
Co-op,11.407576060361786,1,1,450.0,Bronx,"1383 Plimpton Ave Apt 1CBronx, NY 10452",New York,The Bronx,40.8423705,-73.9234444,150.0,0.5,2,225.0,0,VerySmall
House,13.639967177343745,4,2,2184.207862,Other,"158-35 87th StHoward Beach, NY 11414",United States,Queens County,40.6590909,-73.8451972,312.0296945714286,0.4,6,436.8415724,-2,Large
House,13.398480330934175,8,3,2184.207862,Jamaica,"148-05 111th AveJamaica, NY 11435",United States,Queens County,40.688533,-73.796529,182.01732183333334,0.3333333333333333,11,242.68976244444445,-5,Large
House,12.89921982609012,3,1,2184.207862,Other,"178 Beach 24th StFar Rockaway, NY 11691",United States,Queens County,40.5950021,-73.7577376,436.8415724,0.25,4,546.0519655,-2,Large
Condo,12.429220196836383,3,1,2184.207862,Brooklyn,"3105 Avenue V Apt 1FBrooklyn, NY 11229",New York,Brooklyn,40.5997081,-73.9344974,436.8415724,0.25,4,546.0519655,-2,Large
Other,14.36939624590319,2,2,1132.0,New York,"The Rockwell # 6HNew York, NY 10025",United States,New York County,40.7986579,-73.9679035,226.4,0.6666666666666666,4,377.3333333333333,0,Medium
House,13.384729180332174,4,2,2244.0,Other,"115115 220th StCambria Heights, NY 11411",United States,Queens County,40.6968706,-73.7390395,320.57142857142856,0.4,6,448.8,-2,Large
House,13.968232503350668,3,4,3500.0,Staten Island,"67 Dexter AveStaten Island, NY 10309",United States,Richmond County,40.5397292,-74.2155251,437.5,1.0,7,875.0,1,Large
